Team1,Team2,FG % differential,3 pt % differential,FT % differential,Rebound differential, Offensive Rebound differential, Assists differential, Personal foul differentials, Steals differential,Turnovers differential, Blocks differential, Points differential
Stanford,Denver,0.034,0.1279,0.1256,6.0,5.0,14.0,2.0,9.0,-9.0,4.0,23.0
Louisville,Morehead St.,0.2199,0.1627,-0.0238,4.0,2.0,17.0,1.0,11.0,-16.0,3.0,48.0
Duke,Maine,0.1871,0.165,-0.1944,13.0,4.0,13.0,-1.0,1.0,-1.0,3.0,34.0
Clemson,Charleston So.,0.0923,0.0838,0.1852,6.0,2.0,3.0,2.0,4.0,-11.0,6.0,27.0
Florida St.,Northern Ky.,0.0567,-0.0682,0.0386,-3.0,2.0,0.0,1.0,7.0,-10.0,5.0,12.0
Pittsburgh,Radford,0.2435,0.0847,0.0119,8.0,-1.0,11.0,-3.0,7.0,-6.0,5.0,40.0
NC State,USC Upstate,0.2201,0.1905,-0.2063,6.0,-3.0,14.0,3.0,2.0,-6.0,8.0,31.0
Miami (FL),FDU,0.195,0.1074,0.1528,15.0,4.0,6.0,2.0,9.0,-7.0,0.0,41.0
Syracuse,Le Moyne,-0.0607,-0.1782,-0.094,14.0,13.0,3.0,-14.0,1.0,-5.0,1.0,4.0
Wake Forest,Coppin St.,0.1095,0.021,-0.2551,-6.0,-5.0,5.0,-3.0,6.0,-8.0,6.0,15.0
Boston College,The Citadel,0.0043,0.1528,0.1057,11.0,5.0,-1.0,-1.0,-1.0,0.0,-3.0,9.0
Virginia Tech,Delaware St.,0.1258,0.0214,-0.1,12.0,4.0,12.0,-2.0,-3.0,0.0,4.0,23.0
SMU,Tarleton St.,0.1723,-0.0385,-0.0606,6.0,4.0,12.0,2.0,8.0,-10.0,1.0,34.0
North Carolina,Elon,-0.0262,-0.042,0.0268,3.0,8.0,11.0,1.0,7.0,-10.0,2.0,14.0
California,CSU Bakersfield,-0.0144,-0.2582,0.2194,4.0,1.0,5.0,-8.0,2.0,-6.0,0.0,13.0
Notre Dame,Stonehill,0.2046,0.1234,-0.1061,27.0,10.0,2.0,-4.0,-4.0,4.0,-5.0,29.0
Virginia,Campbell,0.1964,0.0822,-0.1389,7.0,-3.0,3.0,-3.0,-4.0,2.0,5.0,9.0
Georgia Tech,West Ga.,0.1259,-0.1407,0.1503,24.0,7.0,10.0,1.0,-1.0,4.0,0.0,23.0
